Bělá pod Pradědem;50.164036;17.196677;Jeseník;Olomoucký kraj
Bělá u Jevíčka;49.639593;16.646009;Svitavy;Pardubický kraj
Bělčice;49.502517;13.875856;Strakonice;Jihočeský kraj
Běleč;49.543779;14.837357;Tábor;Jihočeský kraj
Běleč;49.434036;16.383235;Brno-venkov;Jihomoravský kraj
Běleč;50.056269;13.993082;Kladno;Středočeský kraj
Běleč nad Orlicí;50.198081;15.942805;Hradec Králové;Královéhradecký kraj
Bělkovice-Lašťany;49.668757;17.317289;Olomouc;Olomoucký kraj
Běloky;50.131539;14.220862;Kladno;Středočeský kraj
Bělotín;49.591300;17.806648;Přerov;Olomoucký kraj
Bělov;49.216090;17.484879;Zlín;Zlínský kraj
Bělušice;50.069172;15.322001;Kolín;Středočeský kraj
Bělušice;50.449262;13.762928;Most;Ústecký kraj
Benátky;50.310292;15.736096;Hradec Králové;Královéhradecký kraj
Benátky;49.854287;16.326847;Svitavy;Pardubický kraj
Benátky nad Jizerou;50.289261;14.824612;Mladá Boleslav;Středočeský kraj
Benecko;50.666433;15.548272;Semily;Liberecký kraj
Benešov;49.509531;16.770698;Blansko;Jihomoravský kraj
Benešov;49.783882;14.687470;Benešov;Středočeský kraj
Benešov nad Černou;48.729507;14.627471;Český Krumlov;Jihočeský kraj
Benešov nad Ploučnicí;50.741692;14.312500;Děčín;Ústecký kraj
Benešov u Semil;50.603258;15.368478;Semily;Liberecký kraj
Benešovice;49.726964;12.901799;Tachov;Plzeňský kraj
Benetice;49.297738;15.867436;Třebíč;Kraj Vysočina
Beňov;49.417460;17.501452;Přerov;Olomoucký kraj
Bernardov;50.014231;15.398668;Kutná Hora;Středočeský kraj
Bernartice;49.368999;14.381118;Písek;Jihočeský kraj
Bernartice;50.644783;15.965926;Trutnov;Královéhradecký kraj
Bernartice;50.389907;17.078379;Jeseník;Olomoucký kraj
Bernartice;49.675666;15.129249;Benešov;Středočeský kraj
Bernartice nad Odrou;49.610207;17.947885;Nový Jičín;Moravskoslezský kraj
Beroun;49.967305;14.086384;Beroun;Středočeský kraj
Běrunice;50.185843;15.333694;Nymburk;Středočeský kraj
Beřovice;50.269119;14.123660;Kladno;Středočeský kraj
Besednice;48.790089;14.556987;Český Krumlov;Jihočeský kraj
Běstovice;50.020237;16.211026;Ústí nad Orlicí;Pardubický kraj
Běstvina;49.837134;15.595868;Chrudim;Pardubický kraj
Běšiny;49.301709;13.312677;Klatovy;Plzeňský kraj
Běštín;49.807406;14.016340;Beroun;Středočeský kraj
Bezděčí u Trnávky;49.692503;16.763539;Svitavy;Pardubický kraj
Bezdědovice;49.444294;13.880068;Strakonice;Jihočeský kraj
Bezděkov;49.732931;15.730501;Havlíčkův Brod;Kraj Vysočina
Bezděkov;50.008869;15.644768;Pardubice;Pardubický kraj
Bezděkov;49.379500;13.297971;Klatovy;Plzeňský kraj
Bezděkov;49.824389;13.596645;Rokycany;Plzeňský kraj
Bezděkov nad Metují;50.509838;16.229341;Náchod;Královéhradecký kraj
Bezděkov pod Třemšínem;49.577203;13.878564;Příbram;Středočeský kraj
Bezděz;50.533742;14.722084;Česká Lípa;Liberecký kraj
Bezdružice;49.906771;12.971351;Tachov;Plzeňský kraj
Bezkov;48.871321;15.951352;Znojmo;Jihomoravský kraj
Bezměrov;49.329903;17.334894;Kroměříž;Zlínský kraj
Bezno;50.367388;14.795726;Mladá Boleslav;Středočeský kraj
Bezuchov;49.462827;17.608881;Přerov;Olomoucký kraj
Bezvěrov;49.995118;13.059113;Plzeň-sever;Plzeňský kraj
Bílá;50.664931;15.035522;Liberec;Liberecký kraj
Bílá;49.442171;18.453037;Frýdek-Místek;Moravskoslezský kraj
Bílá Hlína;50.532604;14.925357;Mladá Boleslav;Středočeský kraj
Bílá Lhota;49.709629;16.975180;Olomouc;Olomoucký kraj
Bílá Třemešná;50.444749;15.741120;Trutnov;Královéhradecký kraj
Bílá Voda;50.442133;16.916515;Jeseník;Olomoucký kraj
Bílčice;49.869715;17.565611;Bruntál;Moravskoslezský kraj
Bílé Podolí;49.956586;15.491127;Kutná Hora;Středočeský kraj
Bílé Poličany;50.390894;15.731985;Trutnov;Královéhradecký kraj
Bílence;50.424657;13.506010;Chomutov;Ústecký kraj
Bílichov;50.262151;13.916459;Kladno;Středočeský kraj
Bílina;50.548647;13.775459;Teplice;Ústecký kraj
Bílkovice;49.759822;14.861056;Benešov;Středočeský kraj
Bílov;49.734170;18.001712;Nový Jičín;Moravskoslezský kraj
Bílov;50.017964;13.424950;Plzeň-sever;Plzeňský kraj
Bílovec;49.756486;18.015919;Nový Jičín;Moravskoslezský kraj
Bílovice;49.099749;17.549716;Uherské Hradiště;Zlínský kraj
Bílovice nad Svitavou;49.247178;16.672575;Brno-venkov;Jihomoravský kraj
Bílovice-Lutotín;49.511097;17.043319;Prostějov;Olomoucký kraj
Bílsko;49.159145;14.059108;Strakonice;Jihočeský kraj
Bílsko;49.644661;17.019776;Olomouc;Olomoucký kraj
Bílsko u Hořic;50.369489;15.600604;Jičín;Královéhradecký kraj
Bílý Kámen;49.417417;15.560205;Jihlava;Kraj Vysočina
Bílý Kostel nad Nisou;50.823246;14.924507;Liberec;Liberecký kraj
Bílý Potok;50.873842;15.222203;Liberec;Liberecký kraj
Bílý Újezd;50.238541;16.225370;Rychnov nad Kněžnou;Královéhradecký kraj
Biřkov;49.518156;13.230256;Klatovy;Plzeňský kraj
Biskoupky;49.097789;16.281386;Brno-venkov;Jihomoravský kraj
Biskupice;49.459774;17.236699;Prostějov;Olomoucký kraj
Biskupice;49.872861;15.512907;Chrudim;Pardubický kraj
Biskupice;49.647572;16.758148;Svitavy;Pardubický kraj
Biskupice;49.083208;17.710527;Zlín;Zlínský kraj
Biskupice-Pulkov;49.038255;16.009555;Třebíč;Kraj Vysočina
Bítouchov;50.475882;14.889523;Mladá Boleslav;Středočeský kraj
Bítov;48.936395;15.729075;Znojmo;Jihomoravský kraj
Bítov;49.800422;18.047592;Nový Jičín;Moravskoslezský kraj
Bítovany;49.897307;15.864730;Chrudim;Pardubický kraj
Bítovčice;49.368136;15.734153;Jihlava;Kraj Vysočina
Bitozeves;50.373260;13.640793;Louny;Ústecký kraj
Blanné;48.992037;15.883346;Znojmo;Jihomoravský kraj
Blansko;49.364950;16.647855;Blansko;Jihomoravský kraj
Blatce;50.502986;14.603251;Česká Lípa;Liberecký kraj
Blatec;49.528444;17.238673;Olomouc;Olomoucký kraj
Blatná;49.424993;13.881864;Strakonice;Jihočeský kraj
Blatnice;49.070235;15.871431;Třebíč;Kraj Vysočina
Blatnice;49.719824;13.156096;Plzeň-sever;Plzeňský kraj
Blatnice pod Svatým Antonínkem;48.946824;17.466069;Hodonín;Jihomoravský kraj
Blatnička;48.935609;17.530151;Hodonín;Jihomoravský kraj
Blatno;50.511799;13.358172;Chomutov;Ústecký kraj
Blatno;50.097026;13.389809;Louny;Ústecký kraj
Blazice;49.442570;17.645401;Kroměříž;Zlínský kraj
Blažejov;49.142295;15.096553;Jindřichův Hradec;Jihočeský kraj
Blažejovice;49.619897;15.200036;Benešov;Středočeský kraj
Blažim;49.916024;13.047724;Plzeň-sever;Plzeňský kraj
Blažim;50.406950;13.628683;Louny;Ústecký kraj
Blažkov;49.473174;16.185267;Žďár nad Sázavou;Kraj Vysočina
Blažovice;49.165785;16.786216;Brno-venkov;Jihomoravský kraj
Blešno;50.214011;15.930746;Hradec Králové;Královéhradecký kraj
Blevice;50.209825;14.236267;Kladno;Středočeský kraj
Blízkov;49.400584;15.908810;Žďár nad Sázavou;Kraj Vysočina
Blížejov;49.500115;12.989366;Domažlice;Plzeňský kraj
Blíževedly;50.608503;14.396598;Česká Lípa;Liberecký kraj
Blížkovice;48.999862;15.834918;Znojmo;Jihomoravský kraj
Blovice;49.582303;13.540199;Plzeň-jih;Plzeňský kraj
Blšany;50.217441;13.471313;Louny;Ústecký kraj
Blšany u Loun;50.347086;13.852757;Louny;Ústecký kraj
Blučina;49.055066;16.644601;Brno-venkov;Jihomoravský kraj
Bludov;49.941116;16.928111;Šumperk;Olomoucký kraj
Bludov;49.807592;15.255286;Kutná Hora;Středočeský kraj
Bobnice;50.219681;15.053622;Nymburk;Středočeský kraj
Bobrová;49.482402;16.118399;Žďár nad Sázavou;Kraj Vysočina
Bobrůvka;49.448740;16.093912;Žďár nad Sázavou;Kraj Vysočina
Bocanovice;49.569174;18.738514;Frýdek-Místek;Moravskoslezský kraj
Boháňka;50.365894;15.708485;Jičín;Královéhradecký kraj
Boharyně;50.203911;15.630961;Hradec Králové;Královéhradecký kraj
Bohaté Málkovice;49.189126;17.014284;Vyškov;Jihomoravský kraj
Bohatice;50.669033;14.679426;Česká Lípa;Liberecký kraj
Bohdalec;49.474379;16.059870;Žďár nad Sázavou;Kraj Vysočina
Bohdalice-Pavlovice;49.214143;17.030228;Vyškov;Jihomoravský kraj
Bohdalín;49.307781;15.015943;Pelhřimov;Kraj Vysočina
Bohdalov;49.480764;15.876542;Žďár nad Sázavou;Kraj Vysočina
Bohdalovice;48.742940;14.286864;Český Krumlov;Jihočeský kraj
Bohdaneč;49.778273;15.222656;Kutná Hora;Středočeský kraj
Bohdašín;50.338561;16.225153;Rychnov nad Kněžnou;Královéhradecký kraj
Bohdíkov;50.010058;16.904438;Šumperk;Olomoucký kraj
Bohostice;49.602243;14.138233;Příbram;Středočeský kraj
Bohumilice;49.096180;13.816441;Prachatice;Jihočeský kraj
Bohumín;49.904426;18.357074;Karviná;Moravskoslezský kraj
Bohunice;49.132496;13.973287;Prachatice;Jihočeský kraj
Bohuňov;49.560508;16.202547;Žďár nad Sázavou;Kraj Vysočina
Bohuňov;49.599198;16.463955;Svitavy;Pardubický kraj
Bohuňovice;49.663112;17.287037;Olomouc;Olomoucký kraj
Bohuňovice;49.907982;16.262964;Svitavy;Pardubický kraj
Bohuslavice;49.149530;15.575917;Jihlava;Kraj Vysočina
Bohuslavice;50.312731;16.088688;Náchod;Královéhradecký kraj
Bohuslavice;49.942415;18.128764;Opava;Moravskoslezský kraj
Bohuslavice;49.620952;16.957654;Prostějov;Olomoucký kraj
Bohuslavice;49.826153;16.940636;Šumperk;Olomoucký kraj
Bohuslavice nad Vláří;49.090273;17.926421;Zlín;Zlínský kraj
Bohuslavice u Zlína;49.163201;17.636864;Zlín;Zlínský kraj
Bohuslávky;49.555256;17.567886;Přerov;Olomoucký kraj
Bohušice;49.085207;15.852226;Třebíč;Kraj Vysočina
Bohušov;50.243389;17.713963;Bruntál;Moravskoslezský kraj
Bohušovice nad Ohří;50.493264;14.150595;Litoměřice;Ústecký kraj
Bohutice;48.991375;16.357739;Znojmo;Jihomoravský kraj
Bohutín;49.953611;16.882039;Šumperk;Olomoucký kraj
Bohutín;49.655620;13.943995;Příbram;Středočeský kraj
Bohy;49.937892;13.575531;Plzeň-sever;Plzeňský kraj
Bochoř;49.421475;17.428459;Přerov;Olomoucký kraj
Bochov;50.151007;13.045282;Karlovy Vary;Karlovarský kraj
Bochovice;49.320924;15.896424;Třebíč;Kraj Vysočina
Bojanov;49.841414;15.704985;Chrudim;Pardubický kraj
Bojanovice;48.968259;15.989159;Znojmo;Jihomoravský kraj
Bojanovice;49.854542;14.352145;Praha-západ;Středočeský kraj
Bojiště;49.667888;15.286899;Havlíčkův Brod;Kraj Vysočina
Bojkovice;49.038744;17.814983;Uherské Hradiště;Zlínský kraj
Bolatice;49.951819;18.083690;Opava;Moravskoslezský kraj
Boleboř;50.540271;13.413447;Chomutov;Ústecký kraj
Bolehošť;50.213724;16.077076;Rychnov nad Kněžnou;Královéhradecký kraj
Boleradice;48.966776;16.814026;Břeclav;Jihomoravský kraj
Bolešiny;49.410002;13.361712;Klatovy;Plzeňský kraj
Boletice (vojenský újezd);48.824975;14.217435;Český Krumlov;Jihočeský kraj
Bolkov;49.533675;13.223973;Plzeň-jih;Plzeňský kraj
Boňkov;49.547150;15.447573;Havlíčkův Brod;Kraj Vysočina
Bor;49.711706;12.775276;Tachov;Plzeňský kraj
Bor u Skutče;49.822412;16.127052;Chrudim;Pardubický kraj
Borač;49.400915;16.361217;Brno-venkov;Jihomoravský kraj
Bordovice;49.546979;18.152729;Nový Jičín;Moravskoslezský kraj
Boreč;50.407453;14.732498;Mladá Boleslav;Středočeský kraj
Borek;49.023491;14.500984;České Budějovice;Jihočeský kraj
Borek;49.791915;15.590083;Havlíčkův Brod;Kraj Vysočina
Borek;50.438962;15.654346;Jičín;Královéhradecký kraj
Borek;50.127301;15.856639;Pardubice;Pardubický kraj
Borek;50.222684;14.647521;Praha-východ;Středočeský kraj
